Date,Open,High,Low,Close
1/20/2019,3682.65,3703.39,3481.01,3536.19
1/19/2019,3607.85,3759.98,3604.9,3682.65
1/18/2019,3640.65,3643.69,3580.16,3607.85
1/17/2019,3609.71,3657,3541.29,3640.65
1/16/2019,3580.76,3666.73,3572.52,3609.71
1/15/2019,3664.19,3684.38,3540,3580.76
1/14/2019,3514.24,3711.1,3509.24,3664.19
1/13/2019,3619.41,3641.86,3482,3514.24
1/12/2019,3635.69,3649.18,3557.29,3619.41
1/11/2019,3626.12,3699.26,3576.09,3635.69
1/10/2019,4004.12,4035.21,3560,3626.12
1/9/2019,3993.86,4042.2,3962.12,4004.12
1/8/2019,4006.01,4114.8,3945,3993.86
1/7/2019,4040.99,4070,3968.79,4006.01
1/6/2019,3798.62,4088,3756.01,4040.99
1/5/2019,3820.25,3874.12,3775,3798.62
1/4/2019,3787.57,3849,3730,3820.25
1/3/2019,3890.79,3893.8,3758.07,3787.57
1/2/2019,3826.09,3916.57,3770.07,3890.79
1/1/2019,3691.86,3841.17,3651.02,3826.09
12/31/2018,3829,3835.4,3625.84,3691.86
12/30/2018,3729.31,3863.06,3691.01,3829
12/29/2018,3888.06,3944.33,3706,3729.31
12/28/2018,3589.89,3971.58,3576.12,3888.06
12/27/2018,3809.88,3841.21,3567,3589.89
12/26/2018,3780,3849.2,3685.02,3809.88
12/25/2018,4034,4045.41,3676.15,3780
12/24/2018,3944.93,4239.37,3944.92,4034
12/23/2018,3980.46,4050,3904.87,3944.93
12/22/2018,3839.06,4005,3790.16,3980.46
12/21/2018,4075.34,4162.27,3775,3839.06
12/20/2018,3682.51,4175,3661.5,4075.34
12/19/2018,3667.77,3928.15,3642.17,3682.51
12/18/2018,3496.82,3688,3436.5,3667.77
12/17/2018,3195,3585.95,3184.28,3496.82
12/16/2018,3183,3258,3181.24,3195
12/15/2018,3195.71,3228.69,3130,3183
12/14/2018,3265,3294.9,3135,3195.71
12/13/2018,3430.24,3439.63,3227.96,3265
12/12/2018,3349.36,3486.16,3325.58,3430.24
12/11/2018,3410.15,3424.92,3293.49,3355.68
12/10/2018,3531.18,3590.71,3354.97,3410.15
12/9/2018,3401,3642.51,3373.52,3531.18
12/8/2018,3380.01,3495,3253.66,3401
12/7/2018,3433.26,3544.99,3212,3380.01
12/6/2018,3694.39,3849,3401,3433.26
12/5/2018,3901.84,3912.53,3660,3694.39
12/4/2018,3833.47,4035.1,3732.43,3901.84
12/3/2018,4103.19,4119.98,3741.95,3833.47
12/2/2018,4142.01,4263.77,4036,4103.19
12/1/2018,3976,4275.42,3910.08,4142.01
11/30/2018,4248,4297.71,3869,3975.48
11/29/2018,4225.03,4410.52,4078.21,4248
11/28/2018,3775,4365,3775,4225.03
11/27/2018,3731.32,3830,3562.9,3775
11/26/2018,3936.69,4076.25,3510,3731.32
11/25/2018,3774.99,4120,3457.81,3936.69
11/24/2018,4283.8,4370.78,3650.84,3774.99
11/23/2018,4263.66,4366.05,4086.16,4283.8
11/22/2018,4545.11,4589,4238.69,4263.66
11/21/2018,4349.23,4627.55,4239.01,4545.11
11/20/2018,4733.5,4889,4035,4349.23
11/19/2018,5560,5560,4670.63,4733.5
11/18/2018,5504.17,5665,5503.34,5560
11/17/2018,5512.24,5544,5450.84,5504.17
11/16/2018,5579.52,5609.91,5410,5512.24
11/15/2018,5605.46,5645,5190,5579.52
11/14/2018,6259.35,6293.38,5281.01,5605.46
11/13/2018,6327.86,6328.22,6252.5,6259.35
11/12/2018,6357.6,6383.59,6305.95,6327.86
11/11/2018,6347.42,6360,6271.15,6357.6
11/10/2018,6334.89,6374,6327.46,6347.42
11/9/2018,6406.25,6415,6309.45,6334.89
11/8/2018,6503.12,6511.88,6391.99,6406.25
11/7/2018,6448.5,6540,6448.5,6503.12
11/6/2018,6404,6449.65,6387.82,6448.5
11/5/2018,6423.28,6439.99,6372,6404
11/4/2018,6331.96,6464.15,6314.82,6423.28
11/3/2018,6349.8,6351.7,6315.91,6331.96
11/2/2018,6343.99,6378.77,6333.94,6349.8
11/1/2018,6304.18,6360,6293.44,6343.99
10/31/2018,6267.63,6353.24,6203.72,6304.18
10/30/2018,6266,6289,6240.54,6267.63
10/29/2018,6403.62,6414.99,6211,6266
10/28/2018,6409.12,6415,6380.01,6403.62
10/27/2018,6404.87,6421.76,6390,6409.12
10/26/2018,6395.58,6450,6383.54,6404.87
10/25/2018,6415.97,6422,6379.74,6395.58
10/24/2018,6395.14,6470.99,6395.13,6415.97
10/23/2018,6407.65,6411.5,6360,6395.14
10/22/2018,6415.88,6427.63,6377.77,6407.65
10/21/2018,6414,6452.87,6405.57,6415.88
10/20/2018,6382.98,6420,6369.32,6414
10/19/2018,6394.96,6409.61,6355,6382.98
10/18/2018,6443.7,6489.83,6355,6394.96
10/17/2018,6457.11,6459.99,6411.19,6443.7
10/16/2018,6436.98,6436.98,6422.16,6422.16
10/15/2018,6183.49,6810,6151.58,6436.98
10/14/2018,6196,6288.36,6151,6183.49
